t (s),X1 (m),Y1 (m)
0.000000,-0.009975,0.01995
0.016667,0.1796,0.2294
0.033333,0.3292,0.4389
0.050000,0.4688,0.6284
0.066667,0.5985,0.818
0.083333,0.7481,0.9776
0.100000,0.8778,1.127
0.116667,0.9875,1.267
0.133333,1.127,1.397
0.150000,1.267,1.526
0.166667,1.367,1.656
0.183333,1.466,1.756
0.200000,1.476,1.746
0.216667,1.566,1.855
0.233333,1.666,1.955
0.250000,1.786,2.065
0.266667,1.875,2.155
0.283333,1.945,2.214
0.300000,2.035,2.294
0.316667,2.135,2.374
0.333333,2.195,2.444
0.350000,2.284,2.494
0.366667,2.344,2.564
0.383333,2.444,2.633
0.400000,2.514,2.673
0.416667,2.594,2.723
0.433333,2.663,2.783
0.450000,2.723,2.823
0.466667,2.773,2.863
0.483333,2.853,2.893
0.500000,2.913,2.923
0.516667,2.993,2.963
0.533333,3.062,2.993
0.550000,3.112,3.012
0.566667,3.212,3.042
0.583333,3.222,3.052
0.600000,3.262,3.072
0.616667,3.312,3.072
0.633333,3.382,3.092
0.650000,3.421,3.122
0.666667,3.491,3.112
0.683333,3.581,3.112
0.700000,3.621,3.112
0.716667,3.631,3.102
0.733333,3.711,3.082
0.750000,3.781,3.082
0.766667,3.82,3.102
0.783333,3.89,3.072
0.800000,3.92,3.072
0.816667,3.98,3.042
0.833333,4.06,3.032
0.850000,4.09,3.032
0.866667,4.14,2.993
0.883333,4.19,2.963
0.900000,4.249,2.943
0.916667,4.289,2.893
0.933333,4.329,2.883
0.950000,4.399,2.833
0.966667,4.419,2.803
0.983333,4.479,2.753
1.000000,4.529,2.703
1.016667,4.569,2.673
1.033333,4.628,2.613
1.050000,4.668,2.564
1.066667,4.698,2.514
1.083333,4.748,2.474
1.100000,4.788,2.404
1.116667,4.848,2.344
1.133333,4.878,2.304
1.150000,4.918,2.254
1.166667,4.968,2.185
1.183333,5.007,2.115
1.200000,5.037,2.065
1.216667,5.077,1.985
1.233333,5.107,1.905
1.250000,5.137,1.835
1.266667,5.187,1.766
1.283333,5.247,1.676
1.300000,5.297,1.596
1.316667,5.327,1.546
1.333333,5.357,1.466
1.350000,5.416,1.367
1.366667,5.446,1.277
1.383333,5.476,1.187
1.400000,5.546,1.107
1.416667,5.556,1.037
1.433333,5.576,0.9377
1.450000,5.656,0.8279
1.466667,5.676,0.7382
1.483333,5.696,0.6384
1.500000,5.746,0.5686
1.516667,5.766,0.4289
1.533333,5.815,0.3292
1.550000,5.815,0.2394
1.566667,5.885,0.1496
1.583333,5.895,0.009975
1.600000,5.925,-0.08978
1.616667,5.985,-0.1796
1.633333,6.015,-0.3092
1.650000,6.055,-0.4389
1.666667,6.075,-0.5387
1.683333,6.095,-0.5885
