t (s),X1 (m),Y1 (m)
0.000000,0.2118,0.1246
0.016667,0.4235,0.2865
0.033333,0.5854,0.4609
0.050000,0.7598,0.6353
0.066667,0.9342,0.7723
0.083333,1.096,0.8719
0.100000,1.308,0.9591
0.116667,1.47,1.071
0.133333,1.607,1.196
0.150000,1.744,1.271
0.166667,1.893,1.37
0.183333,2.018,1.47
0.200000,2.142,1.545
0.216667,2.242,1.594
0.233333,2.354,1.669
0.250000,2.491,1.719
0.266667,2.591,1.756
0.283333,2.678,1.819
0.300000,2.79,1.893
0.316667,2.915,1.893
0.333333,3.014,1.943
0.350000,3.102,1.968
0.366667,3.189,1.993
0.383333,3.264,2.005
0.400000,3.351,2.055
0.416667,3.438,2.105
0.433333,3.525,2.105
0.450000,3.625,2.13
0.466667,3.687,2.118
0.483333,3.762,2.167
0.500000,3.861,2.167
0.516667,3.924,2.192
0.533333,3.998,2.18
0.550000,4.073,2.192
0.566667,4.16,2.192
0.583333,4.21,2.192
0.600000,4.297,2.18
0.616667,4.372,2.167
0.633333,4.422,2.167
0.650000,4.509,2.155
0.666667,4.584,2.13
0.683333,4.646,2.105
0.700000,4.696,2.105
0.716667,4.771,2.08
0.733333,4.833,2.043
0.750000,4.895,2.03
0.766667,4.945,2.005
0.783333,5.02,1.968
0.800000,5.082,1.931
0.816667,5.144,1.893
0.833333,5.194,1.881
0.850000,5.281,1.844
0.866667,5.331,1.794
0.883333,5.381,1.731
0.900000,5.443,1.719
0.916667,5.481,1.657
0.933333,5.555,1.619
0.950000,5.618,1.545
0.966667,5.668,1.495
0.983333,5.705,1.445
1.000000,5.742,1.383
1.016667,5.817,1.308
1.033333,5.867,1.233
1.050000,5.917,1.171
1.066667,5.979,1.084
1.083333,6.029,1.071
1.100000,6.066,0.9965
1.116667,6.116,0.9093
1.133333,6.153,0.847
1.150000,6.191,0.7847
1.166667,6.253,0.6851
1.183333,6.241,0.6975
1.200000,6.34,0.573
1.216667,6.378,0.4733
1.233333,6.427,0.3861
1.250000,6.44,0.3737
1.266667,6.465,0.2865
1.283333,6.502,0.1993
1.300000,6.539,0.137
1.316667,6.602,0.03737
1.333333,6.652,-0.06228
1.350000,6.664,-0.1246
1.366667,6.726,-0.2367
1.383333,6.751,-0.3488
1.400000,6.801,-0.4235
1.416667,6.826,-0.5232
1.433333,6.863,-0.6104
1.450000,6.888,-0.6975
1.466667,6.913,-0.6975
