t (s),X1 (m),Y1 (m)
0.000000,0.04673,0.04006
0.016667,0.2537,0.247
0.033333,0.4273,0.4339
0.050000,0.6075,0.6142
0.066667,0.7677,0.7744
0.083333,0.9213,0.9146
0.100000,1.075,1.048
0.116667,1.215,1.175
0.133333,1.342,1.282
0.150000,1.469,1.402
0.166667,1.582,1.495
0.183333,1.696,1.596
0.200000,1.809,1.682
0.216667,1.916,1.769
0.233333,2.016,1.856
0.250000,2.116,1.923
0.266667,2.216,1.989
0.283333,2.31,2.056
0.300000,2.397,2.123
0.316667,2.49,2.176
0.333333,2.57,2.23
0.350000,2.657,2.283
0.366667,2.744,2.337
0.383333,2.831,2.37
0.400000,2.904,2.417
0.416667,2.977,2.45
0.433333,3.058,2.49
0.450000,3.131,2.517
0.466667,3.204,2.544
0.483333,3.278,2.57
0.500000,3.345,2.604
0.516667,3.418,2.61
0.533333,3.418,2.61
0.550000,3.552,2.644
0.566667,3.632,2.664
0.583333,3.692,2.664
0.600000,3.759,2.677
0.616667,3.759,2.677
0.633333,3.819,2.684
0.650000,3.885,2.684
0.666667,4.019,2.67
0.683333,4.019,2.67
0.700000,4.072,2.67
0.716667,4.132,2.657
0.733333,4.193,2.657
0.750000,4.246,2.637
0.766667,4.326,2.624
0.783333,4.379,2.604
0.800000,4.433,2.577
0.816667,4.493,2.557
0.833333,4.54,2.524
0.850000,4.593,2.51
0.866667,4.653,2.477
0.883333,4.707,2.443
0.900000,4.753,2.41
0.916667,4.807,2.377
0.933333,4.853,2.343
0.950000,4.907,2.303
0.966667,4.954,2.256
0.983333,5.007,2.223
1.000000,5.054,2.17
1.016667,5.12,2.13
1.033333,5.161,2.076
1.050000,5.207,2.023
1.066667,5.254,1.976
1.083333,5.307,1.923
1.100000,5.347,1.856
1.116667,5.394,1.796
1.133333,5.441,1.742
1.150000,5.488,1.676
1.166667,5.521,1.609
1.183333,5.581,1.549
1.200000,5.608,1.482
1.216667,5.655,1.415
1.233333,5.695,1.342
1.250000,5.741,1.275
1.266667,5.775,1.202
1.283333,5.828,1.122
1.300000,5.855,1.048
1.316667,5.902,0.9747
1.333333,5.942,0.8879
1.350000,5.988,0.8078
1.366667,6.015,0.7277
1.383333,6.062,0.6409
1.400000,6.095,0.5608
1.416667,6.129,0.474
1.433333,6.175,0.3805
1.450000,6.202,0.3004
1.466667,6.242,0.2136
1.483333,6.269,0.1202
1.500000,6.302,0.0267
1.516667,6.342,-0.06676
1.533333,6.376,-0.1602
1.550000,6.409,-0.2604
1.566667,6.449,-0.3538
1.583333,6.469,-0.454
1.600000,6.502,-0.5408
1.616667,6.536,-0.6476
