t (s),X1 (m),Y1 (m)
0.000000,0.05329,0.05383
0.016667,0.3009,0.2207
0.033333,0.527,0.3714
0.050000,0.7316,0.5114
0.066667,0.9254,0.6352
0.083333,1.114,0.7483
0.100000,1.297,0.8506
0.116667,1.464,0.9474
0.133333,1.631,1.039
0.150000,1.771,1.114
0.166667,1.916,1.19
0.183333,2.045,1.26
0.200000,2.185,1.33
0.216667,2.303,1.383
0.233333,2.422,1.437
0.250000,2.53,1.486
0.266667,2.648,1.534
0.283333,2.648,1.534
0.300000,2.853,1.62
0.316667,2.853,1.62
0.333333,2.955,1.653
0.350000,3.052,1.685
0.366667,3.143,1.717
0.383333,3.235,1.739
0.400000,3.326,1.766
0.416667,3.412,1.782
0.433333,3.493,1.798
0.450000,3.579,1.814
0.466667,3.665,1.83
0.483333,3.73,1.83
0.500000,3.816,1.846
0.516667,3.897,1.852
0.533333,3.972,1.852
0.550000,4.042,1.841
0.566667,4.107,1.83
0.583333,4.188,1.825
0.600000,4.258,1.825
0.616667,4.322,1.814
0.633333,4.387,1.803
0.650000,4.451,1.782
0.666667,4.521,1.782
0.683333,4.581,1.755
0.700000,4.651,1.733
0.716667,4.71,1.701
0.733333,4.764,1.674
0.750000,4.828,1.647
0.766667,4.887,1.615
0.783333,4.941,1.588
0.800000,5.0,1.55
0.816667,5.054,1.518
0.833333,5.119,1.48
0.850000,5.162,1.443
0.866667,5.21,1.4
0.883333,5.264,1.357
0.900000,5.323,1.314
0.916667,5.377,1.26
0.933333,5.426,1.211
0.950000,5.463,1.163
0.966667,5.517,1.109
0.983333,5.566,1.077
1.000000,5.609,1.017
1.016667,5.652,0.9474
1.033333,5.7,0.8829
1.050000,5.738,0.8344
1.066667,5.792,0.7698
1.083333,5.83,0.7052
1.100000,5.867,0.646
1.116667,5.91,0.576
1.133333,5.943,0.5168
1.150000,5.991,0.4414
1.166667,6.023,0.3822
1.183333,6.061,0.3122
1.200000,6.099,0.2476
1.216667,6.126,0.1723
1.233333,6.163,0.0969
1.250000,6.196,0.02692
1.266667,6.228,-0.05383
1.283333,6.271,-0.1238
1.300000,6.298,-0.2099
1.316667,6.319,-0.2853
1.333333,6.357,-0.3661
1.350000,6.384,-0.4468
