t (s),X1 (m),Y1 (m)
0.000000,0.009921,0.02976
0.016667,0.2083,0.1786
0.033333,0.4167,0.3274
0.050000,0.6151,0.4762
0.066667,0.7937,0.5953
0.083333,0.9723,0.7143
0.100000,1.141,0.8235
0.116667,1.29,0.9127
0.133333,1.458,1.012
0.150000,1.597,1.091
0.166667,1.736,1.181
0.183333,1.865,1.25
0.200000,1.994,1.329
0.216667,2.113,1.379
0.233333,2.232,1.448
0.250000,2.341,1.508
0.266667,2.451,1.548
0.283333,2.56,1.597
0.300000,2.669,1.647
0.316667,2.768,1.687
0.333333,2.867,1.726
0.350000,2.966,1.766
0.366667,3.046,1.786
0.383333,3.056,1.796
0.400000,3.234,1.835
0.416667,3.314,1.865
0.433333,3.314,1.865
0.450000,3.492,1.895
0.466667,3.492,1.895
0.483333,3.572,1.925
0.500000,3.651,1.925
0.516667,3.75,1.935
0.533333,3.83,1.945
0.550000,3.899,1.935
0.566667,3.978,1.954
0.583333,4.058,1.945
0.600000,4.127,1.935
0.616667,4.207,1.925
0.633333,4.296,1.915
0.650000,4.365,1.915
0.666667,4.415,1.875
0.683333,4.474,1.875
0.700000,4.554,1.855
0.716667,4.623,1.845
0.733333,4.693,1.806
0.750000,4.762,1.786
0.766667,4.832,1.756
0.783333,4.891,1.726
0.800000,4.961,1.687
0.816667,5.03,1.657
0.833333,5.08,1.617
0.850000,5.139,1.587
0.866667,5.209,1.548
0.883333,5.268,1.508
0.900000,5.328,1.448
0.916667,5.387,1.409
0.933333,5.437,1.359
0.950000,5.496,1.31
0.966667,5.556,1.26
0.983333,5.615,1.191
1.000000,5.665,1.131
1.016667,5.715,1.081
1.033333,5.764,1.012
1.050000,5.834,0.9524
1.066667,5.883,0.883
1.083333,5.933,0.8135
1.100000,5.982,0.7441
1.116667,6.032,0.6746
1.133333,6.072,0.6151
1.150000,6.121,0.5457
1.166667,6.171,0.4564
1.183333,6.221,0.3869
1.200000,6.26,0.2976
1.216667,6.3,0.2282
1.233333,6.35,0.1389
1.250000,6.399,0.06945
1.266667,6.429,-0.01984
1.283333,6.479,-0.1091
1.300000,6.528,-0.2083
1.316667,6.578,-0.2976
1.333333,6.598,-0.3671
1.350000,6.647,-0.4663
1.366667,6.667,-0.5655
1.383333,6.717,-0.6746
1.400000,6.746,-0.754
