t (s),X1 (m),Y1 (m)
0.000000,0,-0.009682
0.016667,0.1646,0.1549
0.033333,0.3389,0.3873
0.050000,0.4647,0.5325
0.066667,0.639,0.6487
0.083333,0.8133,0.7939
0.100000,0.9198,0.9295
0.116667,1.036,1.065
0.133333,1.133,1.191
0.150000,1.239,1.317
0.166667,1.355,1.423
0.183333,1.462,1.51
0.200000,1.568,1.597
0.216667,1.665,1.675
0.233333,1.772,1.762
0.250000,1.859,1.84
0.266667,1.946,1.917
0.283333,2.033,1.985
0.300000,2.12,2.062
0.316667,2.198,2.111
0.333333,2.285,2.188
0.350000,2.362,2.236
0.366667,2.42,2.285
0.383333,2.508,2.333
0.400000,2.575,2.382
0.416667,2.653,2.43
0.433333,2.721,2.459
0.450000,2.788,2.498
0.466667,2.856,2.527
0.483333,2.924,2.556
0.500000,3.001,2.585
0.516667,3.059,2.614
0.533333,3.127,2.624
0.550000,3.185,2.643
0.566667,3.253,2.662
0.583333,3.321,2.672
0.600000,3.379,2.682
0.616667,3.437,2.682
0.633333,3.495,2.692
0.650000,3.563,2.701
0.666667,3.621,2.701
0.683333,3.679,2.692
0.700000,3.737,2.692
0.716667,3.795,2.682
0.733333,3.853,2.672
0.750000,3.853,2.682
0.766667,3.911,2.662
0.783333,4.018,2.624
0.800000,4.018,2.624
0.816667,4.076,2.604
0.833333,4.134,2.585
0.850000,4.183,2.556
0.866667,4.241,2.527
0.883333,4.289,2.508
0.900000,4.337,2.459
0.916667,4.396,2.43
0.933333,4.454,2.391
0.950000,4.492,2.353
0.966667,4.541,2.304
0.983333,4.589,2.256
1.000000,4.638,2.217
1.016667,4.686,2.169
1.033333,4.734,2.12
1.050000,4.773,2.062
1.066667,4.822,2.014
1.083333,4.87,1.956
1.100000,4.918,1.898
1.116667,4.957,1.84
1.133333,5.005,1.772
1.150000,5.054,1.714
1.166667,5.083,1.646
1.183333,5.131,1.578
1.200000,5.17,1.501
1.216667,5.209,1.433
1.233333,5.257,1.355
1.250000,5.277,1.288
1.266667,5.325,1.201
1.283333,5.364,1.133
1.300000,5.402,1.046
1.316667,5.441,0.9682
1.333333,5.47,0.8907
1.350000,5.509,0.7939
1.366667,5.538,0.7165
1.383333,5.577,0.6293
1.400000,5.615,0.5422
1.416667,5.654,0.455
1.433333,5.683,0.3679
1.450000,5.712,0.2711
1.466667,5.761,0.1743
1.483333,5.78,0.09682
1.500000,5.799,0
1.516667,5.838,-0.09682
1.533333,5.857,-0.1936
1.550000,5.887,-0.3001
1.566667,5.916,-0.4066
1.583333,5.945,-0.5035
1.600000,5.964,-0.6003
