t (s),X1 (m),Y1 (m)
0.000000,0,0.008112
0.016667,0.2352,0.1541
0.033333,0.4542,0.292
0.050000,0.657,0.4218
0.066667,0.8679,0.5354
0.083333,1.055,0.6246
0.100000,1.233,0.73
0.116667,1.42,0.8193
0.133333,1.582,0.9004
0.150000,1.736,0.9815
0.166667,1.89,1.046
0.183333,2.036,1.119
0.200000,2.182,1.184
0.216667,2.304,1.233
0.233333,2.458,1.282
0.250000,2.571,1.33
0.266667,2.685,1.371
0.283333,2.807,1.411
0.300000,2.912,1.452
0.316667,3.026,1.476
0.333333,3.131,1.509
0.350000,3.245,1.533
0.366667,3.342,1.557
0.383333,3.456,1.582
0.400000,3.545,1.598
0.416667,3.634,1.614
0.433333,3.748,1.622
0.450000,3.837,1.63
0.466667,3.926,1.63
0.483333,4.015,1.63
0.500000,4.104,1.639
0.516667,4.194,1.622
0.533333,4.291,1.63
0.550000,4.364,1.614
0.566667,4.461,1.614
0.583333,4.542,1.59
0.600000,4.624,1.582
0.616667,4.705,1.557
0.633333,4.778,1.533
0.650000,4.867,1.517
0.666667,4.94,1.493
0.683333,5.013,1.46
0.700000,5.094,1.428
0.716667,5.167,1.395
0.733333,5.24,1.363
0.750000,5.321,1.322
0.766667,5.394,1.282
0.783333,5.459,1.241
0.800000,5.532,1.201
0.816667,5.597,1.152
0.833333,5.67,1.095
0.850000,5.735,1.046
0.866667,5.808,0.9896
0.883333,5.873,0.9328
0.900000,5.938,0.876
0.916667,5.994,0.8112
0.933333,6.051,0.7544
0.950000,6.116,0.6814
0.966667,6.181,0.6165
0.983333,6.238,0.5516
1.000000,6.286,0.4867
1.016667,6.351,0.4056
1.033333,6.4,0.3407
1.050000,6.457,0.2596
1.066667,6.514,0.1866
1.083333,6.562,0.09734
1.100000,6.619,0.02433
1.116667,6.66,-0.05678
1.133333,6.716,-0.146
1.150000,6.757,-0.2271
1.166667,6.814,-0.3245
1.183333,6.862,-0.4056
1.200000,6.903,-0.4948
1.216667,6.952,-0.5921
1.233333,6.984,-0.6651
1.250000,7.025,-0.7625
