t (s),X1 (m),Y1 (m)
0.000000,0.01044,0
0.016667,0.2298,0.1462
0.033333,0.4178,0.3029
0.050000,0.5849,0.4595
0.066667,0.7937,0.5953
0.083333,0.9922,0.7102
0.100000,1.17,0.8042
0.116667,1.326,0.8982
0.133333,1.504,0.9922
0.150000,1.681,1.097
0.166667,1.817,1.17
0.183333,1.943,1.232
0.200000,2.089,1.295
0.216667,2.225,1.368
0.233333,2.36,1.42
0.250000,2.465,1.483
0.266667,2.59,1.525
0.283333,2.695,1.567
0.300000,2.809,1.598
0.316667,2.903,1.64
0.333333,3.008,1.661
0.350000,3.112,1.702
0.366667,3.206,1.734
0.383333,3.311,1.744
0.400000,3.384,1.765
0.416667,3.488,1.786
0.433333,3.582,1.807
0.450000,3.655,1.807
0.466667,3.739,1.828
0.483333,3.812,1.828
0.500000,3.906,1.838
0.516667,3.969,1.828
0.533333,4.052,1.828
0.550000,4.125,1.828
0.566667,4.198,1.817
0.583333,4.272,1.807
0.600000,4.345,1.796
0.616667,4.439,1.786
0.633333,4.512,1.765
0.650000,4.564,1.744
0.666667,4.648,1.713
0.683333,4.689,1.702
0.700000,4.752,1.681
0.716667,4.815,1.661
0.733333,4.877,1.629
0.750000,4.94,1.608
0.766667,4.992,1.567
0.783333,5.044,1.535
0.800000,5.107,1.493
0.816667,5.159,1.462
0.833333,5.211,1.41
0.850000,5.264,1.379
0.866667,5.326,1.337
0.883333,5.389,1.285
0.900000,5.399,1.232
0.916667,5.473,1.17
0.933333,5.525,1.128
0.950000,5.567,1.086
0.966667,5.619,1.023
0.983333,5.671,0.9608
1.000000,5.702,0.9086
1.016667,5.744,0.846
1.033333,5.796,0.7728
1.050000,5.838,0.7206
1.066667,5.828,0.7206
1.083333,5.869,0.6684
1.100000,5.901,0.6266
1.116667,5.943,0.5431
1.133333,5.995,0.47
1.150000,6.037,0.4073
1.166667,6.068,0.3238
1.183333,6.099,0.2924
1.200000,6.131,0.188
1.216667,6.172,0.1149
1.233333,6.214,0.06266
1.250000,6.225,-0.02089
1.266667,6.277,-0.1044
1.283333,6.308,-0.1567
1.300000,6.329,-0.2611
1.316667,6.36,-0.3342
1.333333,6.381,-0.3969
