t (s),X1 (m),Y1 (m)
0.000000,-0.016,0.016
0.016667,0.2559,0.16
0.033333,0.5119,0.3199
0.050000,0.7359,0.4799
0.066667,0.9438,0.6079
0.083333,1.136,0.7199
0.100000,1.344,0.7998
0.116667,1.536,0.8958
0.133333,1.712,0.9918
0.150000,1.856,1.072
0.166667,2.0,1.152
0.183333,2.176,1.232
0.200000,2.304,1.296
0.216667,2.432,1.36
0.233333,2.543,1.408
0.250000,2.687,1.44
0.266667,2.815,1.488
0.283333,2.927,1.552
0.300000,3.023,1.6
0.316667,3.151,1.632
0.333333,3.247,1.664
0.350000,3.375,1.68
0.366667,3.471,1.728
0.383333,3.567,1.728
0.400000,3.679,1.776
0.416667,3.743,1.776
0.433333,3.839,1.792
0.450000,3.951,1.824
0.466667,4.031,1.824
0.483333,4.111,1.824
0.500000,4.207,1.824
0.516667,4.287,1.824
0.533333,4.383,1.824
0.550000,4.463,1.824
0.566667,4.543,1.824
0.583333,4.639,1.824
0.600000,4.703,1.824
0.616667,4.799,1.824
0.633333,4.863,1.776
0.650000,4.959,1.776
0.666667,5.023,1.744
0.683333,5.119,1.728
0.700000,5.183,1.712
0.716667,5.247,1.68
0.733333,5.311,1.648
0.750000,5.391,1.616
0.766667,5.471,1.584
0.783333,5.535,1.52
0.800000,5.583,1.504
0.816667,5.663,1.456
0.833333,5.711,1.424
0.850000,5.791,1.376
0.866667,5.855,1.344
0.883333,5.919,1.28
0.900000,6.015,1.232
0.916667,6.047,1.168
0.933333,6.111,1.12
0.950000,6.175,1.072
0.966667,6.223,1.008
0.983333,6.223,1.008
1.000000,6.319,0.8638
1.016667,6.415,0.8318
1.033333,6.383,0.8158
1.050000,6.511,0.7039
1.066667,6.527,0.7039
1.083333,6.559,0.6239
1.100000,6.591,0.5599
1.116667,6.655,0.4959
1.133333,6.687,0.4159
1.150000,6.751,0.3359
1.166667,6.783,0.2879
1.183333,6.831,0.192
1.200000,6.895,0.09598
1.216667,6.927,0.04799
1.233333,6.943,-0.06399
1.250000,6.991,-0.112
1.266667,7.055,-0.224
1.283333,7.087,-0.2879
1.300000,7.119,-0.3679
1.316667,7.135,-0.4639
1.333333,7.183,-0.5279
1.350000,7.215,-0.6399
1.366667,7.263,-0.7359
