t (s),X1 (m),Y1 (m)
0.000000,0.1661,0.07668
0.016667,0.3962,0.23
0.033333,0.639,0.4473
0.050000,0.8051,0.6134
0.066667,1.01,0.7284
0.083333,1.201,0.8562
0.100000,1.367,0.9457
0.116667,1.546,1.048
0.133333,1.687,1.163
0.150000,1.853,1.252
0.166667,1.994,1.329
0.183333,2.147,1.419
0.200000,2.262,1.47
0.216667,2.377,1.546
0.233333,2.505,1.597
0.250000,2.607,1.661
0.266667,2.722,1.712
0.283333,2.824,1.751
0.300000,2.927,1.789
0.316667,3.042,1.84
0.333333,3.131,1.866
0.350000,3.233,1.904
0.366667,3.323,1.942
0.383333,3.399,1.994
0.400000,3.502,2.019
0.416667,3.604,1.994
0.433333,3.668,2.019
0.450000,3.757,2.032
0.466667,3.847,2.058
0.483333,3.911,2.07
0.500000,3.987,2.058
0.516667,4.077,2.07
0.533333,4.153,2.096
0.550000,4.204,2.096
0.566667,4.307,2.07
0.583333,4.371,2.096
0.600000,4.435,2.058
0.616667,4.498,2.07
0.633333,4.588,2.045
0.650000,4.639,2.045
0.666667,4.716,2.019
0.683333,4.78,1.981
0.700000,4.843,1.968
0.716667,4.895,1.955
0.733333,4.971,1.93
0.750000,5.022,1.891
0.766667,5.086,1.853
0.783333,5.15,1.84
0.800000,5.188,1.802
0.816667,5.265,1.764
0.833333,5.316,1.712
0.850000,5.38,1.661
0.866667,5.444,1.636
0.883333,5.495,1.585
0.900000,5.559,1.559
0.916667,5.597,1.508
0.933333,5.597,1.521
0.950000,5.649,1.457
0.966667,5.712,1.393
0.983333,5.776,1.355
1.000000,5.815,1.291
1.016667,5.879,1.24
1.033333,5.917,1.163
1.050000,5.981,1.125
1.066667,6.006,1.048
1.083333,6.045,0.984
1.100000,6.109,0.9329
1.116667,6.147,0.869
1.133333,6.185,0.7923
1.150000,6.249,0.7284
1.166667,6.288,0.639
1.183333,6.351,0.5623
1.200000,6.377,0.524
1.216667,6.428,0.4089
1.233333,6.466,0.3578
1.250000,6.505,0.2428
1.266667,6.543,0.2045
1.283333,6.569,0.115
1.300000,6.62,0.05112
1.316667,6.633,-0.03834
1.333333,6.709,-0.1406
1.350000,6.735,-0.2173
1.366667,6.76,-0.3195
1.383333,6.786,-0.3962
1.400000,6.85,-0.4856
1.416667,6.85,-0.524
1.433333,6.863,-0.524
